key,brand,tier,year,season,emb_idx
73447,Jean Paul Gaultier,Avant-garde,2013,Pre-Fall,227
24194,Fendi,Luxury,2003,Spring,228
555457,Fendi,Luxury,2008,Resort,229
685458,Marni,Accessible Luxury,2022,Fall,230
96615,Ralph Lauren,Accessible Luxury,2016,Fall,231
301512,Balenciaga,Avant-garde,2019,Resort,232
1011394,Missoni,Accessible Luxury,2015,Resort,233
153495,Versace,Luxury,2013,Pre-Fall,234
345355,Valentino,Luxury,2019,Pre-Fall,235
194830,Givenchy,Luxury,2018,Fall,236
794575,Alexander McQueen,Avant-garde,2013,Fall,237
261344,Rick Owens,Avant-garde,2015,Spring,238
66496,Burberry,Accessible Luxury,2016,Fall,239
196074,Rick Owens,Avant-garde,2017,Fall,240
87989,Max Mara,Accessible Luxury,2016,Spring,241
147332,Saint Laurent,Luxury,2018,Fall,242
774625,Stella McCartney,Accessible Luxury,2021,Pre-Fall,243
4825,Ralph Lauren,Accessible Luxury,2020,Fall,244
190256,Valentino,Luxury,2019,Pre-Fall,245
713666,Maison Margiela,Avant-garde,2006,Spring,246
29751,Valentino,Luxury,2019,Pre-Fall,247
362247,Valentino,Luxury,2019,Pre-Fall,248
151734,Jean Paul Gaultier,Avant-garde,2020,Spring,249
426362,Missoni,Accessible Luxury,2023,Fall,250
317047,Chanel,Luxury,2021,Resort,251
774412,Alexander McQueen,Avant-garde,2021,Resort,252
579564,Balenciaga,Avant-garde,2023,Resort,253
813912,Givenchy,Luxury,2022,Resort,254
55120,Rick Owens,Avant-garde,2021,Fall,255
277351,Balenciaga,Avant-garde,2012,Spring,256
509835,Alexander McQueen,Avant-garde,2010,Spring,257
572975,Versace,Luxury,2003,Fall,258
954995,Giorgio Armani,Luxury,2009,Resort,259
106558,Valentino,Luxury,2004,Spring,260
514363,Rick Owens,Avant-garde,2002,Fall,261
279828,Burberry,Accessible Luxury,2007,Spring,262
68197,Maison Margiela,Avant-garde,2012,Spring,263
257622,Balenciaga,Avant-garde,2010,Fall,264
259720,Versace,Luxury,2005,Spring,265
272745,Maison Margiela,Avant-garde,2011,Pre-Fall,266
1027308,Gucci,Luxury,2000,Spring,267
184806,Prada,Luxury,2012,Fall,268
408394,Gucci,Luxury,2009,Spring,269
567427,Fendi,Luxury,2004,Fall,270
199473,Givenchy,Luxury,2008,Fall,271
328203,Saint Laurent,Luxury,2004,Fall,272
64037,Giorgio Armani,Luxury,2004,Fall,273
497350,Stella McCartney,Accessible Luxury,2002,Fall,274
341443,Marni,Accessible Luxury,2005,Fall,275
212281,Jean Paul Gaultier,Avant-garde,2015,Spring,276
30729,Prada,Luxury,2010,Pre-Fall,277
1127438,Alexander McQueen,Avant-garde,2011,Pre-Fall,278
569276,Saint Laurent,Luxury,2012,Pre-Fall,279
482612,Christian Dior,Luxury,2008,Resort,280
718564,Missoni,Accessible Luxury,2010,Pre-Fall,281
524595,Max Mara,Accessible Luxury,2011,Fall,282
27238,Stella McCartney,Accessible Luxury,2003,Fall,283
309962,Burberry,Accessible Luxury,2005,Fall,284
124984,Dries Van Noten,Avant-garde,2012,Spring,285
154784,Missoni,Accessible Luxury,2011,Pre-Fall,286
743015,Balenciaga,Avant-garde,2011,Pre-Fall,287
215358,Valentino,Luxury,2007,Spring,288
456395,Alexander McQueen,Avant-garde,2001,Spring,289
363240,Versace,Luxury,2012,Fall,290
18317,Givenchy,Luxury,2005,Fall,291
477858,Balenciaga,Avant-garde,2014,Pre-Fall,292
1049067,Fendi,Luxury,2014,Pre-Fall,293
126288,Alexander McQueen,Avant-garde,2005,Spring,294
290083,Chanel,Luxury,2021,Resort,295
812915,Max Mara,Accessible Luxury,2013,Fall,296
30084,Jean Paul Gaultier,Avant-garde,2001,Fall,297
176892,Max Mara,Accessible Luxury,2016,Spring,298
1128637,Burberry,Accessible Luxury,2014,Resort,299
210414,Gucci,Luxury,2013,Fall,300
12460,Max Mara,Accessible Luxury,2016,Resort,301
924630,Givenchy,Luxury,2015,Pre-Fall,302
194178,Saint Laurent,Luxury,2022,Fall,303
283632,Alexander McQueen,Avant-garde,2001,Spring,304
567468,Jean Paul Gaultier,Avant-garde,2014,Resort,305
467558,Miu Miu,Accessible Luxury,2016,Resort,306
498117,Balenciaga,Avant-garde,2013,Pre-Fall,307
343622,Givenchy,Luxury,2023,Fall,308
109546,Prada,Luxury,2017,Spring,309
164153,Balenciaga,Avant-garde,2020,Spring,310
303974,Missoni,Accessible Luxury,2017,Fall,311
203104,Burberry,Accessible Luxury,2021,Spring,312
150967,Maison Margiela,Avant-garde,2009,Fall,313
65420,Saint Laurent,Luxury,2021,Spring,314
897559,Alexander McQueen,Avant-garde,2019,Pre-Fall,315
38406,Givenchy,Luxury,2019,Resort,316
460769,Alexander McQueen,Avant-garde,2019,Fall,317
330110,Louis Vuitton,Luxury,2019,Fall,318
231650,Versace,Luxury,2019,Spring,319
176023,Christian Dior,Luxury,2010,Spring,320
267181,Prada,Luxury,2014,Spring,321
508653,Prada,Luxury,2002,Spring,322
204618,Gucci,Luxury,2002,Spring,323
176710,Burberry,Accessible Luxury,2005,Fall,324
350614,Marni,Accessible Luxury,2010,Spring,325
134352,Missoni,Accessible Luxury,2000,Spring,326
112268,Marni,Accessible Luxury,2008,Spring,327
133790,Dolce & Gabbana,Luxury,2008,Fall,328
1099821,Maison Margiela,Avant-garde,2012,Pre-Fall,329
838342,Giorgio Armani,Luxury,2012,Pre-Fall,330
143617,Valentino,Luxury,2001,Fall,331
420721,Valentino,Luxury,2009,Fall,332
350418,Valentino,Luxury,2004,Spring,333
274236,Dolce & Gabbana,Luxury,2001,Spring,334
153264,Louis Vuitton,Luxury,2012,Pre-Fall,335
254183,Valentino,Luxury,2008,Fall,336
268960,Giorgio Armani,Luxury,2011,Fall,337
343260,Valentino,Luxury,2013,Resort,338
170249,Jean Paul Gaultier,Avant-garde,2010,Spring,339
153995,Chanel,Luxury,2007,Resort,340
654920,Gucci,Luxury,2003,Fall,341
273599,Miu Miu,Accessible Luxury,2005,Fall,342
61725,Giorgio Armani,Luxury,2012,Pre-Fall,343
47270,Chanel,Luxury,2010,Pre-Fall,344
641857,Gucci,Luxury,2011,Resort,345
916236,Alexander McQueen,Avant-garde,2015,Pre-Fall,346
604658,Ralph Lauren,Accessible Luxury,2000,Fall,347
378200,Rick Owens,Avant-garde,2005,Fall,348
273133,Marni,Accessible Luxury,2012,Resort,349
944530,Burberry,Accessible Luxury,2014,Resort,350
101947,Dolce & Gabbana,Luxury,2010,Fall,351
263705,Jean Paul Gaultier,Avant-garde,2011,Spring,352
386061,Christian Dior,Luxury,2015,Resort,353
151891,Burberry,Accessible Luxury,2008,Pre-Fall,354
303012,Maison Margiela,Avant-garde,2013,Fall,355
47589,Chanel,Luxury,2009,Pre-Fall,356
115814,Chanel,Luxury,2012,Spring,357
959393,Burberry,Accessible Luxury,2012,Pre-Fall,358
101512,Christian Dior,Luxury,2015,Fall,359
253596,Gucci,Luxury,2014,Spring,360
319650,Stella McCartney,Accessible Luxury,2002,Spring,361
257942,Chanel,Luxury,2016,Fall,362
589268,Louis Vuitton,Luxury,2021,Resort,363
137297,Maison Margiela,Avant-garde,2013,Pre-Fall,364
439539,Maison Margiela,Avant-garde,2021,Spring,365
78517,Gucci,Luxury,2021,Spring,366
49557,Louis Vuitton,Luxury,2021,Fall,367
1192313,Stella McCartney,Accessible Luxury,2015,Resort,368
112879,Prada,Luxury,2022,Spring,369
607951,Valentino,Luxury,2022,Resort,370
610218,Louis Vuitton,Luxury,2023,Pre-Fall,371
1057061,Stella McCartney,Accessible Luxury,2022,Pre-Fall,372
465099,Balenciaga,Avant-garde,2022,Resort,373
533020,Marni,Accessible Luxury,2023,Fall,374
420621,Christian Dior,Luxury,2023,Fall,375
59083,Jean Paul Gaultier,Avant-garde,2020,Spring,376
295443,Fendi,Luxury,2019,Spring,377
371737,Versace,Luxury,2021,Resort,378
170791,Givenchy,Luxury,2021,Fall,379
37486,Gucci,Luxury,2023,Spring,380
289144,Christian Dior,Luxury,2019,Resort,381
95199,Chanel,Luxury,2019,Spring,382
18934,Dries Van Noten,Avant-garde,2020,Spring,383
355086,Burberry,Accessible Luxury,2023,Fall,384
376046,Christian Dior,Luxury,2013,Resort,385
1038314,Louis Vuitton,Luxury,2010,Pre-Fall,386
720025,Valentino,Luxury,2010,Pre-Fall,387
583063,Ralph Lauren,Accessible Luxury,2011,Spring,388
106776,Ralph Lauren,Accessible Luxury,2007,Spring,389
249906,Fendi,Luxury,2008,Fall,390
126302,Balenciaga,Avant-garde,2012,Fall,391
268304,Christian Dior,Luxury,2008,Fall,392
187711,Christian Dior,Luxury,2006,Spring,393
306776,Dries Van Noten,Avant-garde,2003,Spring,394
54807,Stella McCartney,Accessible Luxury,2005,Fall,395
592523,Burberry,Accessible Luxury,2010,Resort,396
428691,Burberry,Accessible Luxury,2010,Spring,397
367550,Stella McCartney,Accessible Luxury,2007,Spring,398
58495,Givenchy,Luxury,2002,Fall,399
401177,Burberry,Accessible Luxury,2009,Pre-Fall,400
131133,Rick Owens,Avant-garde,2010,Fall,401
102426,Marni,Accessible Luxury,2005,Spring,402
233035,Louis Vuitton,Luxury,2005,Spring,403
11867,Ralph Lauren,Accessible Luxury,2005,Fall,404
40212,Gucci,Luxury,2007,Spring,405
209686,Alexander McQueen,Avant-garde,2006,Fall,406
1097805,Max Mara,Accessible Luxury,2013,Pre-Fall,407
466398,Givenchy,Luxury,2002,Spring,408
155163,Chanel,Luxury,2008,Spring,409
1019568,Missoni,Accessible Luxury,2009,Resort,410
98581,Christian Dior,Luxury,2012,Fall,411
147243,Giorgio Armani,Luxury,2013,Fall,412
447840,Stella McCartney,Accessible Luxury,2014,Resort,413
173381,Giorgio Armani,Luxury,2020,Resort,414
427298,Christian Dior,Luxury,2001,Fall,415
638488,Fendi,Luxury,2014,Resort,416
256461,Missoni,Accessible Luxury,2013,Spring,417
264787,Versace,Luxury,2013,Fall,418
787120,Saint Laurent,Luxury,2012,Pre-Fall,419
753105,Gucci,Luxury,2013,Resort,420
307743,Miu Miu,Accessible Luxury,2010,Fall,421
141273,Chanel,Luxury,2010,Spring,422
151152,Gucci,Luxury,2015,Pre-Fall,423
171628,Valentino,Luxury,2015,Resort,424
224106,Alexander McQueen,Avant-garde,2003,Spring,425
373953,Dries Van Noten,Avant-garde,2016,Fall,426
360003,Stella McCartney,Accessible Luxury,2009,Fall,427
124263,Burberry,Accessible Luxury,2016,Resort,428
997263,Missoni,Accessible Luxury,2023,Resort,429
683098,Missoni,Accessible Luxury,2015,Pre-Fall,430
152063,Christian Dior,Luxury,2014,Resort,431
668579,Ralph Lauren,Accessible Luxury,2014,Resort,432
238180,Maison Margiela,Avant-garde,2016,Fall,433
35457,Versace,Luxury,2017,Spring,434
60384,Jean Paul Gaultier,Avant-garde,2003,Fall,435
116514,Prada,Luxury,2016,Fall,436
144135,Prada,Luxury,2019,Spring,437
146528,Marni,Accessible Luxury,2019,Spring,438
437717,Gucci,Luxury,2019,Spring,439
62979,Dolce & Gabbana,Luxury,2019,Spring,440
495460,Fendi,Luxury,2019,Pre-Fall,441
103508,Louis Vuitton,Luxury,2023,Fall,442
496868,Max Mara,Accessible Luxury,2022,Resort,443
80776,Saint Laurent,Luxury,2016,Spring,444
529872,Marni,Accessible Luxury,2017,Pre-Fall,445
313663,Burberry,Accessible Luxury,2021,Spring,446
141570,Dolce & Gabbana,Luxury,2019,Fall,447
790103,Giorgio Armani,Luxury,2009,Resort,448
142075,Versace,Luxury,2002,Fall,449
373991,Missoni,Accessible Luxury,2006,Spring,450
784172,Dolce & Gabbana,Luxury,2008,Pre-Fall,451
1234456,Marni,Accessible Luxury,2009,Pre-Fall,452
203337,Jean Paul Gaultier,Avant-garde,2001,Spring,453
122299,Miu Miu,Accessible Luxury,2005,Spring,454
588912,Versace,Luxury,2004,Fall,455
113311,Saint Laurent,Luxury,2008,Spring,456
54726,Giorgio Armani,Luxury,2002,Spring,457
77404,Giorgio Armani,Luxury,2012,Fall,458
383826,Versace,Luxury,2008,Spring,459
91464,Dolce & Gabbana,Luxury,2008,Spring,460
76443,Valentino,Luxury,2006,Spring,461
147012,Jean Paul Gaultier,Avant-garde,2014,Spring,462
804240,Alexander McQueen,Avant-garde,2010,Resort,463
182254,Burberry,Accessible Luxury,2008,Spring,464
249234,Versace,Luxury,2011,Spring,465
24705,Chanel,Luxury,2007,Fall,466
206836,Prada,Luxury,2009,Fall,467
198014,Jean Paul Gaultier,Avant-garde,2010,Fall,468
198358,Givenchy,Luxury,2011,Fall,469
223732,Versace,Luxury,2008,Fall,470
340006,Ralph Lauren,Accessible Luxury,2006,Spring,471
437844,Givenchy,Luxury,2002,Spring,472
621605,Stella McCartney,Accessible Luxury,2012,Fall,473
232285,Versace,Luxury,2013,Spring,474
137883,Dries Van Noten,Avant-garde,2000,Fall,475
582896,Marni,Accessible Luxury,2004,Spring,476
620270,Marni,Accessible Luxury,2013,Resort,477
31816,Christian Dior,Luxury,2013,Fall,478
328407,Christian Dior,Luxury,2002,Spring,479
283534,Balenciaga,Avant-garde,2015,Spring,480
341257,Burberry,Accessible Luxury,2012,Fall,481
161293,Prada,Luxury,2015,Spring,482
18722,Gucci,Luxury,2016,Spring,483
846028,Missoni,Accessible Luxury,2010,Pre-Fall,484
134863,Marni,Accessible Luxury,2020,Spring,485
3121,Valentino,Luxury,2021,Resort,486
207135,Givenchy,Luxury,2017,Fall,487
428570,Versace,Luxury,2021,Pre-Fall,488
317628,Givenchy,Luxury,2014,Resort,489
200706,Prada,Luxury,2019,Spring,490
190925,Christian Dior,Luxury,2017,Spring,491
76860,Louis Vuitton,Luxury,2016,Fall,492
281559,Rick Owens,Avant-garde,2017,Fall,493
725463,Stella McCartney,Accessible Luxury,2023,Spring,494
225009,Burberry,Accessible Luxury,2017,Fall,495
222077,Miu Miu,Accessible Luxury,2021,Fall,496
336828,Jean Paul Gaultier,Avant-garde,2019,Spring,497
982249,Stella McCartney,Accessible Luxury,2021,Spring,498
275069,Fendi,Luxury,2019,Spring,499
254460,Chanel,Luxury,2019,Resort,500
895920,Giorgio Armani,Luxury,2017,Resort,501
477502,Max Mara,Accessible Luxury,2022,Spring,502
694221,Giorgio Armani,Luxury,2019,Resort,503
41777,Gucci,Luxury,2022,Fall,504
57619,Miu Miu,Accessible Luxury,2022,Fall,505
728833,Ralph Lauren,Accessible Luxury,2019,Pre-Fall,506
296848,Louis Vuitton,Luxury,2022,Resort,507
480597,Stella McCartney,Accessible Luxury,2023,Pre-Fall,508
171656,Alexander McQueen,Avant-garde,2023,Resort,509
233771,Louis Vuitton,Luxury,2022,Pre-Fall,510
247641,Valentino,Luxury,2019,Resort,511
930765,Marni,Accessible Luxury,2014,Pre-Fall,512
663636,Fendi,Luxury,2007,Spring,513
245740,Chanel,Luxury,2009,Resort,514
396857,Burberry,Accessible Luxury,2005,Fall,515
45818,Marni,Accessible Luxury,2003,Fall,516
299014,Stella McCartney,Accessible Luxury,2005,Fall,517
314649,Burberry,Accessible Luxury,2006,Spring,518
579588,Saint Laurent,Luxury,2008,Resort,519
582577,Louis Vuitton,Luxury,2010,Resort,520
319904,Marni,Accessible Luxury,2012,Spring,521
291682,Marni,Accessible Luxury,2009,Pre-Fall,522
171975,Fendi,Luxury,2008,Fall,523
61885,Jean Paul Gaultier,Avant-garde,2004,Fall,524
113394,Missoni,Accessible Luxury,2006,Spring,525
281235,Maison Margiela,Avant-garde,2010,Fall,526
476788,Alexander McQueen,Avant-garde,2012,Fall,527
433961,Alexander McQueen,Avant-garde,2009,Pre-Fall,528
131449,Gucci,Luxury,2013,Spring,529
690525,Balenciaga,Avant-garde,2012,Spring,530
500913,Prada,Luxury,2010,Spring,531
265753,Dries Van Noten,Avant-garde,2001,Fall,532
279385,Givenchy,Luxury,2010,Resort,533
458046,Marni,Accessible Luxury,2014,Spring,534
78007,Valentino,Luxury,2014,Resort,535
547836,Prada,Luxury,2000,Fall,536
532706,Versace,Luxury,2009,Fall,537
